الشيخوخة المنتجة	老有所为	productive ageing	vieillissement productif	Активная старость	envejecimiento productivo
أفريقيا	非洲	africa	afrique	Африка	africa
تحقيق الديمقراطية	民主化	democratization	democratisation	Демократизация	democratizacion
السفارات	大使馆	embassies	ambassades	Посольства	embajadas
الحالة في غرينادا	格林纳达局势	grenada situation	situation a la grenade	Положение на Гренаде	situacion en granada
العقود	合同	contracts	contrats	Договоры (контракты)	contratos
المرضى عقليا	精神病患者	mentally ill persons	malades mentaux	Психически больные	enfermos mentales
البعثات الخاصة	特派团	special missions	missions speciales	Специальные миссии	misiones especiales
الحرفيون	工匠	artisans	artisans	Ремесленники	artesanos
أمراض الديدان الطفيلية	蠕虫病	helminthic diseases	helminthiases	Гельминтозы	helmintiasis
الجوع	饥饿	hunger	faim	Голод	hambre
الاستقلال	独立	independence	independance	Независимость	independencia
بعثات تقصي الحقائق	实况调查团	fact-finding missions	missions d'enquete	Миссии по установлению фактов	misiones de investigacion
حقول النفط	油田	oil fields	champs petroliferes	Нефтяные месторождения	campos petroliferos
الرعاية في بيت التربية	寄养家庭照料	foster home care	placement familial	Передача ребенка на воспитание	colocacion en hogares de guarda
الخدمات العامة	公共服务	public services	services publics	Коммунальные службы	servicios publicos
الإيرانيون	伊朗人	iranians	iraniens	Иранцы	iranies
إدارة النفايات السمية	有毒废物管理	toxic waste management	gestion des dechets toxiques	Обращение с токсичными отходами	administracion de desperdicios toxicos
الجوانب الإقتصادية	经济方面	economic aspects	aspects economiques	Экономические аспекты	aspectos economicos
فنيو المكتبات	图书馆技术人员	library technicians	techniciens des bibliotheques	Технический персонал библиотек	tecnicos de biblioteca
علم الزراعة	农学	agronomy	agronomie	Агрономия	agronomia
التكتلات الاحتكارية	卡特尔	cartels	cartels	Картели	carteles (economia)
أمريكا الوسطى	中美洲	central america	amerique centrale	Центральная Америка	america central
الدخل التقاعدي	退休收入	retirement income	revenu des retraites	Доход после выхода на пенсию	ingresos por jubilacion
صناعة المكنات	机械工业	machinery industry	industrie mecanique	Машиностроение	industria mecanica
الصين	中国	china	chine	Китай	china
الدوائر الإلكترونية	电子电路	electronic circuits	circuits electroniques	Электронные схемы	circuitos electronicos
علم الاجتماع العسكري	军事社会学	military sociology	sociologie militaire	Военная социология	sociologia militar
ناقلات النفط	油轮	tankers	petroliers	Танкеры	buques cisterna
ساموا الأمريكية	美属萨摩亚	american samoa	samoa americaines	Американское Самоа	samoa americana
إمكانات السوق	市场潜力	market potential	potentiel du marche	Рыночная конъюнктура	potencial del mercado
الذكرى السنوية	周年纪念	anniversaries	anniversaires	Годовщины	aniversarios
صياغة مشاريع القوانين	起草议案	bill drafting	redaction de projets de loi	Составление законопроектов	redaccion de proyectos de ley
إقفال المصانع	关厂	plant shutdowns	fermetures d'usine	Закрытие предприятий	cierre de empresas
علم السكان	人口学	demography	demographie	Демография	demografia
التوظيف الريفي	农村就业	rural employment	emploi rural	Трудоустройство сельского населения	empleo rural
البحوث المالية	金融研究	financial research	recherche financiere	Финансовые исследования	investigacion financiera
الأنوال	织布机	looms	metiers a tisser	Ткацкие станки	telares
تنمية المكتبات	图书馆发展	library development	developpement des bibliotheques	Развитие библиотек	desarrollo de bibliotecas
اللاجئون الهنغاريون	匈牙利难民	hungarian refugees	refugies hongrois	Венгерские беженцы	refugiados hungaros
هندسة الطب الحيوي	生物医学工程	biomedical engineering	genie bio-medical	Биомедицинская техника	ingenieria biomedica
التطبيقات العسكرية	军事应用	military applications	applications militaires	Военное применение	aplicaciones militares
الجغرافيا الإحيائية	生物地理学	biogeography	biogeographie	Биогеография	biogeografia
الفيلة	象	elephants	elephants	Слоны	elefantes
عرض وتحليل الكتب	书评	book reviews	comptes rendus d'ouvrages	Обзоры книг	reseÑas bibliograficas
منحة الاستقرار	安置津贴	installation grant	indemnite d'installation	Подъемное пособие	subsidio de instalacion
أسعار المياه	水价	water prices	prix de l'eau	Цены на воду	precio del agua
تغذية النبات	植物营养	plant nutrition	nutrition des plantes	Питание растений	nutricion de las plantas
المحيط الهندي	印度洋	indian ocean	ocean indien	Индийский океан	oceano indico
رعاية الأسرة	家庭福利	family welfare	protection de la famille	Охрана семьи	bienestar de la familia
الرعاية الاجتماعية	社会福利	social welfare	bien-etre social	Социальная защита	bienestar social
الحمل والضأن	小羊	lamb and mutton	viande d'agneau et de mouton	Баранина	carne de cordero
الكتب النافدة الطبع	绝版书	out of print books	editions epuisees	Распроданные книги	ediciones agotadas
علم الألوية	旗帜学	vexillology	vexillologie	Вексиллология	vexilologia
تبادل المعلومات	信息交流	information exchange	echange d'information	Обмен информацией	intercambio de informacion
مكتبات الأفلام	影片馆	film libraries	cinematheques	Фильмотеки	filmotecas
المناطق التجارية المركزية	中心商业区	central business districts	quartiers des affaires	Центральные деловые районы	distritos de negocios
اللجان الوظيفية	职司委员会	functional commissions	commissions techniques	Функциональные комиссии	comisiones organicas
مسألة بروني	文莱问题	brunei question	question du brunei	Вопрос о Брунее	cuestion de brunei
التعاون التقني الزراعي	农业技术合作	agricultural technical cooperation	cooperation technique agricole	Сельскохозяйственное техническое сотрудничество	cooperacion tecnica agricola
السليكات	硅酸盐	silicates	silicates	Силикаты	silicatos
الصناعات الخفيفة	轻工业	light industry	industrie legere	Легкая промышленность	industria ligera
مؤشرات تكنولوجيا المعلومات والاتصالات	信通技术指标	ict indicators	indicateurs des tic	Показатели доступа к ИКТ	indicadores tic
خريجو المدارس المهنية	职业学校毕业生	vocational school graduates	diplomes d'ecole professionnelle	Выпускники профессионально-технических училищ	graduados de escuelas profesionales
عمان	阿曼	oman	oman	Оман	oman
رابطات تصنيف السفن	船级社	ship classification societies	societes de classification de navires	Классификационные общества	sociedades de clasificacion de buques
المصنفات الفنية	技术文献	technical literature	ouvrages techniques	Техническая литература	bibliografia tecnica
الحرب ضد الغواصات	反潜艇战	antisubmarine warfare	guerre anti-sous-marins	Противолодочная война	guerra antisubmarina
السهوب	大草原	steppes	steppes	Степи	estepas
الألعاب	运动会	games	jeux	Игры	juegos
إدارة الشركات	公司管理	corporate governance	gouvernement d'entreprise	Корпоративное управление	gobernabilidad corporativa
القابلات	助产士	midwives	sages-femmes	Акушерки	parteras
السكك الحديدية النفقية	地铁 	subways	metros	Метрополитены	metros
نظم المعلومات الجغرافية	地理信息系统	geographic information systems	systemes d'information geographique	Географические информационные системы	sistemas de informacion geografica
السماد	堆肥	composts	composts	Компост	compost
اللغة الهولندية	荷兰语	dutch language	langue neerlandaise	Нидерландский язык	lengua holandesa
الأحكام	判决书	judgements	jugements et arrets	Судебные решения	sentencias
لجان التحقيق	调查委员会	commissions of inquiry	commissions d'enquete	Следственные комиссии	comisiones de investigacion
القانون المدني	民法	civil law	droit prive	Гражданское право	derecho civil
عائدات النفط	石油收入	petroleum revenues	revenus du petrole	Поступления от продажи нефти	ingresos del petroleo
الأدائية	功能主义	functionalism	fonctionnalisme	Функционализм	funcionalismo
التنبؤات الجوية	天气预报	weather forecasting	prevision meteorologique	Прогноз погоды	pronosticos meteorologicos
نظرية التحكم	控制论	control theory	theorie du controle	Теория управления	teoria del control
الهالونات	二氟二氯甲烷	halons	halons	Галоны	halones
العقم	不育(症	sterility	sterilite	Бесплодие	esterilidad
قيود التصدير	限制出口	export restraints	limitation des exportations	Экспортные самоограничения	limitaciones de las exportaciones
التقارب الاقتصادي	经济合流	economic convergence	convergence economique	Экономическая конвергенция	convergencia economica
الاتفاقيات البريدية	邮政公约	postal conventions	conventions postales	Почтовые конвенции	convenciones postales
توزيع السكان	人口分布 	population distribution	repartition de la population	Размещение населения	distribucion de la poblacion
عقود الأداء	经营合同	performance contracts	contrats de performance	Перформанс-контракты	contratos de desempeÑo
هندسة الجينات	遗传工程（学）	genetic engineering	genie genetique	Генетическая инженерия	ingenieria genetica
هايتي	海地	haiti	haiti	Гаити	haiti
تدمير الممتلكات	破坏财产	destruction of property	destruction de biens	Уничтожение имущества	destruccion de la propiedad
التخطيط لتعاقب الموطفين	接任规划	succession planning	plan de succession	Планирование замещения кадров	planificacion de la sucesion
أكاسيد النيتروجين	氧化氮	nitrogen oxides	oxydes d'azote	Оксиды азота	oxidos de nitrogeno
البث اللاسلكي	无线电广播	radio broadcasting	radiodiffusion	Радиовещание	radiodifusion
أسواق القطع الأجنبي	外汇市场	foreign exchange markets	marches des changes	Валютные рынки	mercados de divisas
إدارة التعليم	教育管理	educational management	gestion des etablissements d'enseignement	Руководство образовательными учреждениями	gestion de la enseÑanza
التمويل المشترك	共同供资	co-financing	cofinancement	Совместное финансирование	cofinanciacion
لغة الزاندي	赞德语	zande language	langue zande	Язык занде	lengua zande
الامتيازات والرهونات البحرية	海上留置权和抵押权	maritime liens and mortgages	privileges et hypotheques maritimes	Морские залоги и ипотеки	privilegios e hipotecas maritimas
إحصاءات المؤسسات التجارية	企业统计	enterprise statistics	statistiques d'entreprises	Статистика предприятий	estadisticas de las empresas
تدريب المعلمين	师资训练	teacher training	formation des enseignants	Педагогическая подготовка	formacion de personal docente
أسعار الجملة	批发价格	wholesale prices	prix de gros	Оптовые цены	precios al por mayor
الرواسب البحرية	海洋沉积物	marine sediments	sediments marins	Морские осадки	sedimentos marinos
زراعة الكفاف	自给农作	subsistence farming	agriculture de subsistance	Натуральное сельское хозяйство	agricultura de subsistencia
باراغواي	巴拉圭	paraguay	paraguay	Парагвай	paraguay
مسألة الكونغو	刚果问题	congo question	question du congo	Вопрос о Конго	cuestion del congo
سانت لوسيا	圣卢西亚	saint lucia	sainte-lucie	Сент-Люсия	santa lucia
نظام الحماية الجمركية	贸易保护主义	protectionism	protectionnisme	Протекционизм	proteccionismo
الأدب	文学	literature	litterature	Литература	literatura
الإستونيون	爱沙尼亚人	estonians	estoniens	Эстонцы	estonios
الشاي	茶	tea	the	Чай	te
القطاع الخاص	私营部门	private sector	secteur prive	Частный сектор	sector privado
الاستثمارات	投资	investments	investissements	Инвестиции	inversiones
القرصنة	海盗行为	piracy	piraterie	Пиратство	pirateria
تعيين الأعضاء	任命成员	appointment of members	nomination des membres	Назначение членов	nombramiento de miembros
المعادلات التفاضلية العشوائية	随机微分方程	stochastic differential equations	equations differentielles stochastiques	Стохастические дифференциальные уравнения	ecuaciones diferenciales estocasticas
الاضطرابات النطقية	语言障碍	speech disorders	troubles de la parole	Нарушения речи	trastornos del habla
الإكوادوريون	厄瓜多尔人	ecuadorians	equatoriens	Эквадорцы	ecuatorianos
خدمات الشباب	青年事务	youth services	services pour les jeunes	Обслуживание молодежи	servicios para jovenes
تكييف الهواء	空调	air-conditioning	climatisation	Кондиционирование воздуха	climatizacion
التضخم	通货膨胀	inflation	inflation	Инфляция	inflacion
فلسفة التربية	教育理论	educational philosophy	philosophie de l'education	Философия образования	filosofia de la educacion
البرقوق المجفف	梅干	prunes	pruneaux	Чернослив	ciruelas pasas
القمع السياسي	政治压制	political repression	repression politique	Политические репрессии	represion politica
القياس الجيوفيزيائي	地球物理测量	geophysical measurements	mesures geophysiques	Геофизические измерения	mediciones geofisicas
ضريبة القيمة المضافة	增值税	value added tax	taxe a la valeur ajoutee	Налог на добавленную стоимость	impuesto al valor agregado
الأعمال التجارية الزراعية	农工部门	agribusiness	secteur agroindustriel	Агробизнес	sector agroindustrial
لغة الفولا	富拉语	fula language	langue fulfulde	Язык фула	lengua fula
الأطفال ذوو المشاكل	成问题的儿童	problem children	enfants a problemes	Трудные дети	niÑos con problemas de conducta
الرسوم الكاريكاتورية	讽刺画与漫画	caricatures and cartoons	caricatures et dessins humoristiques	Карикатуры и шаржи	caricaturas y tiras comicas
الفرق المشتركة بين الوكالات	机构间小组	inter-agency groups	groupes interinstitutions	Межучрежденческие группы	grupos interinstitucionales
الحكومة العسكرية	军政府	military government	gouvernement militaire	Военная администрация	gobierno militar
مزارع الألبان	乳品农场	dairy farms	exploitations laitieres	Молочные фермы	granjas lecheras
اليمنيون	也门人	yemenis	yemenites	Йеменцы	yemenitas
القاطرات الكهربائية	电力机车	electric locomotives	locomotives electriques	Электровозы	locomotoras electricas
صندوق الطوارئ	应急基金	contingency funds	fonds de reserve	Резервные фонды	fondos para imprevistos
المادية الجدلية	辨证唯物主义	dialectical materialism	materialisme dialectique	Диалектический материализм	materialismo dialectico
أحوال المعيشة	生活状况	living conditions	conditions de vie	Условия жизни	condiciones de vida
النيجر	尼日尔	niger	niger	Нигер	niger
تسعير التحويل	制订转帐价格	transfer pricing	prix de transfert	Трансфертное ценообразование	precios de transferencia
الاشتراكية	社会主义	socialism	socialisme	Социализм	socialismo
النظم الإيكولوجية البحرية	海洋生态体系	marine ecosystems	ecosystemes marins	Морские экосистемы	ecosistemas marinos
فنلندا	芬兰	finland	finlande	Финляндия	finlandia
المعدات والإمدادات	设备和用品	equipment and supplies	equipement et fournitures	Оборудование и предметы снабжения	equipo y suministros
المواد الخطرة بيئياً	对环境有害的物质	environmentally hazardous substances	substances dangereuses pour l'environnement	Опасные для окружающей среды вещества	substancias peligrosas para el medio ambiente
الأحياء البرية	野生生物	wildlife	vie sauvage	Дикая природа	flora y fauna silvestres
محاكم الضرائب	税务法庭	tax courts	tribunaux fiscaux	Налоговые суды	tribunales fiscales
حسن النية	诚意	good faith	bonne foi	Добросовестность	buena fe
النفتالين	萘	naphthalene	naphtalene	Нафталин	naftaleno
الغابات	森林	forests	forets	Леса	bosques
مسألة غوام	关岛问题	guam question	question de guam	Вопрос о Гуаме	cuestion de guam
الفن الإسلامي	伊斯兰艺术	islamic art	art islamique	Исламское искусство	arte islamico
تحات التربة	土壤腐蚀	soil erosion	erosion du sol	Почвенная эрозия	erosion del suelo
النظريات غير الخطية	非线性理论	non-linear theories	theories non lineaires	Нелинейные теории	teorias no lineales
الأنيلين	苯胺	aniline	aniline	Анилин	anilina
الوكالات المتخصصة	专门机构	specialized agencies	institutions specialisees	Специализированные учреждения	organismos especializados
فلوريد الكربون	氟碳化合物	fluorocarbons	fluorocarbures	Фторуглероды	fluorocarburos
معدل الوفيات	死亡率	death rate	taux de mortalite	Коэффициент смертности	tasa de mortalidad
صلصة فول الصويا	大豆	soy beans	soja	Соя	soya
الرسم المقابل (أو المناظر) 	反补贴税	countervailing duties	droits compensateurs	Компенсационные пошлины	derechos compensatorios
النظام الغذائي	饮食	diet	regime alimentaire	Диета	regimen alimentario
القانون التجاري	商法	commercial law	droit commercial	Торговое право	derecho mercantil
اللغة الأرمنية	亚美尼亚语	armenian language	langue armenienne	Армянский язык	lengua armenia
التعويضات	赔偿	reparation	reparation	Репарация	reparacion
السياسة الإعلامية	信息政策	information policy	politique de l'information	Информационная политика	politica de informacion
التحويل الإلكتروني للأموال	电子资金转帐	electronic funds transfer	transfert electronique de fonds	Электронный перевод средств	transferencia electronica de fondos
البيولوجيا الفضائية	空间生物学	space biology	biologie spatiale	Космическая биология	biologia espacial
التأمين والضمان	保证和担保	suretyship and guarantee	cautionnement et aval	Поручительство и гарантия (в гражданском праве)	fianza y aval
حماية التصميمات	设计保护	design protection	protection des dessins	Охрана дизайна	proteccion de diseÑos
المياه المالحة	盐水 	saline waters	eaux salees	Соленая вода	aguas salinas
قانون البيئة	环境法	environmental law	droit de l'environnement	Экологическое право	derecho ambiental
التاريخ الاجتماعي	社会史	social history	histoire sociale	Социальная история	historia social
الظروف السياسية	政治条件	political conditions	conditions politiques	Политические условия	condiciones politicas
استغلال النفايات	废物利用	waste utilization	utilisation des dechets	Утилизация отходов	utilizacion de desechos
الصادرات	出口	exports	exportations	Экспорт	exportaciones
عادات الطعام	饮食习惯	food habits	habitudes alimentaires	Пищевые привычки	habitos alimentarios
الأفريقان	南非人	afrikaners	afrikaners	Африканеры	afrikaners
الروابط	协会	associations	associations	Объединения	asociaciones
الصنوبر	松树	pine	pin	Сосны	pino
الهندسة الحرارية	热力工程	thermal engineering	genie thermique	Теплотехника	ingenieria termica
مختبرات اللغة	语言实验室	language laboratories	laboratoires de langues	Лингафонные кабинеты	laboratorios de idiomas
الغلاف الجوي	大气	atmosphere	atmosphere	Атмосфера	atmosfera
تمويل الإرهاب	向恐怖主义提供资助	terrorism financing	financement du terrorisme	Финансирование терроризма	financiacion del terrorismo
سان تومي وبرينسيبي	圣多美和普林西比	sao tome and principe	sao tome-et-principe	Сан-Томе и Принсипи	santo tome y principe
الإحصاءات الاقتصادية	经济统计	economic statistics	statistiques economiques	Экономическая статистика	estadisticas economicas
المشروعات التجارية	商业企业	business enterprises	entreprises commerciales	Хозяйственные предприятия	empresas comerciales
الفينولات	酚类化合物	phenols	phenols	Фенолы	fenoles
الشيليون	智利人	chileans	chiliens	Чилийцы	chilenos
استخدام الحيز المكاني	空间利用	space utilization	utilisation de l'espace	Использование площадей	utilizacion de espacio
اليمن الديمقراطي	民主也门	democratic yemen	yemen democratique	Демократический Йемен	yemen democratico
الخبز	面包	bread	pain	Хлеб	pan
التصميم	设计	design	design	Дизайн	diseÑo
رجال الدين	教士	clergy	clerge	Духовенство	clero
سياسة الموارد الطبيعية	自然资源政策	natural resources policy	politique des ressources naturelles	Природоресурсная политика	politica de recursos naturales
إحصاءات الاتصالات	通信统计	communication statistics	statistiques de la communication	Коммуникационная статистика	estadisticas de las comunicaciones
التنشئة الاجتماعية	社会化	socialization	socialisation	Социализация	socializacion
الملاحة اللاسلكية	无线电导航	radio navigation	radionavigation	Радионавигация	radionavegacion
خدمات الصحة العقلية	精神保健服务	mental health services	services psychiatriques	Психиатрическая помощь	servicios de salud mental
الجوانب الأخلاقية	道德问题 	moral aspects	aspects moraux	Моральные аспекты	aspectos morales
الصناديق المالية	资金	funds	fonds	Фонды	fondos
المشتريات الحكومية	政府采购	government purchasing	achats publics	Государственные закупки	compras del gobierno
الثوريوم	钍	thorium	thorium	Торий	torio
تحليل التألق	荧光分析	fluorometric analysis	analyse fluorimetrique	Флуорометрический анализ	analisis fluorimetrico
القسوة على الحيوانات	虐待动物	cruelty to animals	cruaute envers les animaux	Жестокое обращение с животными	crueldad con los animales
التصوير	摄影	photography	photographie	Фотография	fotografia
الترحيل بدافع التنمية	以发展为目的的迁移	development-based displacement	deplacement lie au developpement	Переселение в связи с застройкой	desplazamientos por motivos de desarrollo
مصادر الطاقة النووية	核动力源	nuclear power sources	sources d'energie nucleaire	Ядерные источники энергии	fuentes de energia nuclear
سكان أستراليا الأصليون	澳大利亚土著人	australian aborigines	aborigenes d'australie	Австралийцы-аборигены	aborigenes australianos
الحكومة البرلمانية	议会制政体	parliamentary government	gouvernement parlementaire	Парламентская форма правления	gobierno parlamentario
الشعير	大麦	barley	orge	Ячмень	cebada
غينيا-بيساو	几内亚-比绍	guinea-bissau	guinee-bissau	Гвинея-Бисау	guinea-bissau
بلدان العبور	过境国	transit countries	pays de transit	Страны транзита	paises de transito
المضاربة	投机	speculation	speculation	Спекуляция	especulacion
الكراسات	小册子	pamphlets	brochures	Брошюры	folletos
دراسات الجدوى	可行性研究	feasibility studies	etudes de faisabilite	Технико-экономические обоснования	estudios de viabilidad
وفيات الأمومة	产妇死亡率	maternal mortality	mortalite maternelle	Материнская смертность	mortalidad materna
البقل (نب)	苣荬菜 	endives	chicorees frisees et scaroles	Эндивий	endibias
الجوانب المالية	财务方面	financial aspects	aspects financiers	Финансовые аспекты	aspectos financieros
التصويت	表决	voting	vote	Голосование	votacion
التآكل	腐蚀	corrosion	corrosion	Коррозия	corrosion
لاتفيا	拉脱维亚	latvia	lettonie	Латвия	letonia
بحوث الأرز	水稻研究	rice research	recherche sur le riz	Рисоводческие исследования	investigacion sobre el arroz
السوق السوداء	黑市	black market	marche noir	Черный рынок	mercado negro
القرن التاسع عشر	十九世纪	nineteenth century	dix-neuvieme siecle	Девятнадцатый век	siglo xix
علماء الإنسان	人类学家	anthropologists	anthropologues	Антропологи	antropologos
الماليون	马里人	malians	maliens	Малийцы	malienses
انتخاب الموظفين	选举主席团成员	election of officers	election du bureau	Выборы должностных лиц	eleccion de la mesa
المصارف الأجنبية	海外银行	offshore banks	banques off-shore	Офшорные банки	bancos extraterritoriales
أمراض المناطق المدارية	热带疾病	tropical diseases	maladies tropicales	Тропические болезни	enfermedades tropicales
تقنيات تقييم ومراجعة المشروع	项目评审法	project evaluation and review technique	methode pert	Метод оценки и анализа проектов	metodo pert
رسم الخرائط بالحاسوب	计算机测绘	computer mapping	cartographie automatique	Компьютерная картография	cartografia automatica
الأسطح	表面	surfaces	surfaces	Поверхности	superficies
خطف السفن	劫持船舶	hijacking of ships	detournement de navires	Угон судов водного транспорта	secuestro de buques
علم الاقتصاد البيئي	环境经济学	environmental economics	economie de l'environnement	Экономика окружающей среды	economia ambiental
نخيل التمر	海枣树	date palms	palmiers dattiers	Финиковые пальмы	palmeras datileras
لحم العجل	小牛肉	veal	viande de veau	Телятина	carne de ternera
تسهيلات السفر	旅行便利	travel facilitation	facilitation de voyages	Упрощение путешествий	facilitacion de viajes
معاشات التقاعد	养恤金	pensions	pensions	Пенсии	pensiones
بلدان عدم الانحياز	不结盟国家	non-aligned countries	pays non-alignes	Неприсоединившиеся страны	paises no alineados
الأفران العالية	高炉	blast furnaces	hauts-fourneaux	Доменные печи	altos hornos
مركبات خفيفة	轻型车辆	light duty vehicles	vehicules legers	Автомобили малой грузоподъемности	vehiculos para carga ligera
التكاثر البشري	人类生殖	human reproduction	reproduction humaine	Размножение человека	reproduccion humana
فحم الكوك	焦碳	coke	coke	Кокс	coque
البحوث الزراعية	农业研究	agricultural research	recherche agricole	Сельскохозяйственные исследования	investigacion agricola
التجارة بين الشمال والجنوب	北南贸易	north-south trade	commerce nord-sud	Торговля между Севером и Югом	comercio norte-sur
المنظمات غير الحكومية	非政府组织	non-governmental organizations	organisations non gouvernementales	Неправительственные организации	organizaciones no gubernamentales
من سانت لوسيا	圣卢西亚人	saint lucians	saint-luciens	Сентлюсийцы	santalucenses
العمالة لوقت جزئي	非全时就业	part-time employment	emploi a temps partiel	Работа на условиях неполного рабочего времени	empleo a tiempo parcial
القانون الجوي الدولي	国际航空法	international air law	droit aerien international	Международное воздушное право	derecho aereo internacional
العقاقير المحورة	化合致幻药	designer drugs	designer drugs	Переделанные наркотики	drogas de formula manipulada
النظام العالمي لتحديد المواقع	全球定位系统	global positioning systems	systemes de positionnement universel	Глобальные системы определения координат	sistemas mundiales de orientacion
إبدال الموارد	资源替代	resources substitution	remplacement des ressources	Замещение ресурсов	sustitucion de recursos
المرتكزات	锚	anchors	ancres	Якоря	anclas
الإبادة الجماعية	灭绝种族罪	genocide	genocide	Геноцид	genocidio
الهندسة الزراعية	农业工程	agricultural engineering	genie agricole	Агроинженерия	ingenieria agricola
مسألة الجزر الملغاشية	马达加斯加群岛问题	malagasy islands question	question des iles malgaches	Вопрос о малагасийских островах	cuestion de las islas malgaches
البربادوسيون	巴巴多斯人	barbadians	barbadiens	Барбадосцы	barbadenses
النقل بالدحرجة	滚装运输	roll on-roll off transport	transroulage	Ролкерные перевозки	transbordo rodado
العلاقات الودية بين الدول	国家间友好关系	friendly relations among states	relations amicales entre etats	Дружественные отношения между государствами	relaciones de amistad entre los estados
مراكز الاحتجاز	拘留中心	detention centres	centres de detention	Места заключения	centros de detencion
الفاقد السلعي	货物丢失	commodity losses	pertes de produits de base	Сырьевые потери	perdidas de productos basicos
حصص التصدير	出口配额	export quotas	contingents d'exportation	Экспортные квоты	contingentes de exportacion
النقض (فيتو)	否决	veto	veto	Вето	veto
النظم التفاعلية	交互式系统	interactive systems	systemes interactifs	Диалоговые системы	sistemas interactivos
البث الشبكي	网播	webcasts	diffusion internet	Сетевое вещание	transmision web
نظرية الألعاب	对策论	game theory	theorie des jeux	Теория игр	teoria de los juegos
الفطر	蘑菇	mushrooms	champignons comestibles	Съедобные грибы	hongos comestibles
الانعزالية	孤立主义	isolationism	isolationnisme	Изоляционизм	aislacionismo
محطات الإطلاق	全套发射设备	launch complexes	aires de lancement	Стартовые комплексы	estaciones de lanzamiento
الامتيازات	特许权	concessions	concessions	Концессии	concesiones
السلع الأساسية	商品	commodities	produits de base	Сырьевые товары	productos basicos
حماية الشواطىء	护岸	shore protection	protection du littoral	Охрана береговой среды	proteccion de las costas
القانون الدولي الخاص	国际私法	private international law	droit international prive	Международное частное право	derecho internacional privado
حاويات متوسطة للبضائع السائبة	中型散装货箱	intermediate bulk containers	grands recipients pour vrac	Контейнеры средней грузоподъемности для массовых грузов	contenedores de 20 y 40 pies
مسألة سانت كيتس ونيفيس	圣基茨和尼维斯问题	saint kitts-nevis question	question de saint-kitts-et-nevis	Вопрос о Сент-Китсе и Невисе	cuestion de san cristobal-nieves
اللغات الاصطناعية	人造语言	artificial languages	langues artificielles	Искусственные языки	lenguas artificiales
مكثِّفات عالية القدرة	超级电容器	ultracapacitors	supercondensateurs	Конденсаторы сверхбольшой емкости	ultracondensadores
بوركينا فاسو	布基纳法索人	burkina-be	burkina-be	Буркинийцы	burkina-be
جمهورية مولدوفا	摩尔多瓦共和国	republic of moldova	republique de moldova	Республика Молдова	republica de moldova
كربيد الكالسيوم	碳化钙	calcium carbide	carbure de calcium	Карбид кальция	carburo calcico
المطالبات	索赔要求	claims	reclamations	Претензии	reclamaciones
المحافظون	总督	governors	gouverneurs	Губернаторы	gobernadores
بقاء الطفل	儿童生存	child survival	survie de l'enfant	Обеспечение выживания детей	supervivencia del niÑo
الخدمات التقنية (المكتبة)	技术服务	technical services (libraries)	services techniques (bibliotheques)	Технические службы библиотек	servicios tecnicos (bibliotecas)
توقع العمر	预期寿命	life expectancy	esperance de vie	Ожидаемая продолжительность предстоящей жизни	promedio de vida
ديناميكية الجماعة	群体动力	group dynamics	dynamique de groupe	Групповая динамика	dinamica de grupos
قانون الهجرة النازحة	移徙法	emigration law	droit de l'emigration	Эмиграция (правовое регулирование)	derecho de la emigracion
المناطق الحضرية	城市地区	urban areas	zones urbaines	Городские районы	zonas urbanas
الحمل	妊娠	pregnancy	grossesse	Беременность	embarazo
الصوان	花岗岩	granite	granite	Гранит	granito
المؤسسات التجارية الكبيرة	大企业	large enterprises	grandes entreprises	Крупные предприятия	grandes empresas
اللاجئون الكمبوديون	柬埔寨难民	cambodian refugees	refugies cambodgiens	Камбоджийские беженцы	refugiados camboyanos
المنافسة غير العادلة	不公平竞争	unfair competition	concurrence deloyale	Нечестная конкуренция	competencia desleal
الحقوق المكتسبة	既得权利 	acquired rights	droits acquis	Приобретенные права	derechos adquiridos
الاحتكارات الحكومية	政府垄断	government monopolies	monopoles publics	Государственные монополии	monopolios gubernamentales
اللغة السلوفينية	斯洛文尼亚语	slovenian language	langue slovene	Словенский язык	lengua eslovena
اللغة الأفريقانية	南非荷兰语	afrikaans language	langue afrikaans	Африкаанс	lengua afrikaans
الأدوات الآلية	车床	machine tools	machines-outils	Станки	maquinas herramientas
التحول الاقتصادي	经济转型	economic conversion	conversion economique	Перестройка экономики	reconversion economica
المنتجات الخرسانية	混凝土制品	concrete products	produits en beton	Бетонные изделия	productos de hormigon
صناعة التنغستن	钨工业	tungsten industry	industrie du tungstene	Вольфрамовая промышленность	industria del tungsteno
علامات الشحن البحري	运输标志	shipping marks	marques d'expedition	Маркировка груза	marcas de expedicion
إرشاد السفن	领港费	pilotage	pilotage	Лоцманское дело	pilotaje
التحكم في الإنتاج	生产管制 	production control	controle de la production	Управление производством	control de la produccion
الخوذ البيضاء	白盔[人员	white helmets	casques blancs	Белые каски	cascos blancos
الوقود الكحولي	酒精燃料	alcohol fuels	alcool carburant	Спиртовое топливо	combustibles de alcohol
سكان المناطق الحضرية	城市人口	urban population	population urbaine	Городское население	poblacion urbana
الجرائد الرسمية	政府公报	gazettes	journaux officiels	Официальные вестники	boletines oficiales
خطر على الصحة	对健康的危害物	health hazards	dangers pour la sante	Опасность для здоровья	riesgos para la salud
المدن	城市	cities	villes	Города	ciudades
